moves,runtime(in seconds)
7659,1.3485
4766,0.7759
2936,0.2424
5608,0.8089
5727,1.9983
5890,0.9249
6859,1.3530
5820,3.5121
5697,2.8704
4691,0.5659
4931,0.5032
5822,0.8067
6220,1.8094
1694,0.1543
6829,1.0537
8202,1.8689
7710,2.7925
2260,0.2005
4969,0.6264
6589,1.1645
4212,0.5797
6890,1.2022
5074,1.1434
7019,2.8675
1865,0.1403
8068,8.0179
8506,3.2200
2040,0.1940
6090,2.2420
5393,1.6649
6332,1.4396
2453,0.1822
5584,3.6642
4469,0.3899
6013,0.7670
3000,0.3079
7275,1.9895
5299,1.0013
7093,1.1274
3374,0.3251
7568,1.2208
7576,2.0828
5426,0.8133
7192,1.4720
7252,1.6450
5529,2.2621
5791,1.5103
8334,8.8614
7633,2.9678
5666,0.8803
3034,0.2948
6905,1.0829
5979,1.6451
6905,1.1915
7764,2.1435
2700,0.3373
5606,1.4435
4812,0.6501
2053,0.1984
3988,0.7449
6755,1.3257
7543,1.5402
5725,0.8626
3378,0.4382
4595,0.6567
5642,1.0041
7202,1.4763
6064,0.8987
5462,0.8885
4539,0.7762
7698,3.1028
6004,2.9057
6417,2.9615
3948,0.3473
7158,2.1274
4072,0.5364
8238,2.3901
5602,0.7011
6281,1.8815
6859,3.7574
4381,0.4313
3723,0.4103
5830,1.0028
7649,2.8162
7161,1.3551
6498,1.3034
7656,2.0097
6373,3.1527
6216,1.0062
8490,5.0554
5052,1.3408
5927,1.1950
6072,1.9348
3022,0.2847
3471,0.3689
4054,0.6147
6195,3.0812
5354,0.8392
7098,1.3729
4890,0.8492
5738,1.7744
5482,0.8730
3464,0.3903
3574,0.3894
6319,1.1588
6427,0.9152
7479,2.4987
5609,1.4806
7626,2.3178
6313,1.8812
7121,1.5775
2812,0.2697
3305,0.3281
977,0.0829
8229,3.8434
2367,0.2989
7707,1.9376
7290,1.4338
5911,1.0982
5631,0.8928
8091,2.9977
2271,0.1903
3878,0.4556
6378,2.5875
6059,1.6117
5761,0.7799
8678,3.5429
7615,3.5833
7660,2.8271
3283,0.3608
7313,4.4330
5473,1.3068
6388,1.5510
3593,0.4388
2970,0.3063
6313,1.7096
5780,0.8960
4047,0.5790
7627,1.2628
5316,0.7296
6227,1.4461
5802,1.1321
5291,1.3817
2849,0.2435
5751,1.0388
3975,0.3547
4395,0.4732
8322,3.2593
4450,0.6408
8302,4.3010
7523,1.7972
5094,0.9226
6024,1.6603
5290,0.5929
3410,0.4061
4184,0.4301
6967,1.1776
2523,0.1979
6400,0.9164
7010,1.3009
5780,0.9534
8628,3.2076
5701,1.6331
8018,1.6564
5407,2.3528
7535,3.3777
5446,1.4061
5397,1.5129
