moves,runtime(in seconds)
314,0.3410
404,0.2496
502,1.3748
348,1.4672
542,0.8438
263,0.0521
310,0.3734
550,0.3215
432,1.0360
471,0.8965
491,0.6884
410,0.7507
308,0.0510
572,2.7463
373,1.1975
381,0.1968
479,0.2653
602,0.7028
305,0.4774
419,0.5129
289,0.3550
299,0.3733
418,0.0987
531,0.3089
473,1.0481
500,0.6196
656,1.1100
365,0.1985
320,0.2600
575,5.2835
501,0.8176
427,0.8416
424,0.1691
391,1.3791
623,3.2813
245,0.0651
529,0.8003
506,0.2613
396,1.0928
122,0.0240
378,0.5170
395,1.3638
471,1.7446
429,0.0923
313,0.7641
422,1.1377
359,0.1230
602,1.3831
623,0.4491
522,1.8257
400,0.3025
529,1.6811
354,0.2015
289,0.3145
598,0.1619
459,0.1359
426,0.0709
326,1.0216
322,0.7954
339,7.3201
544,0.6698
454,0.1523
282,0.5483
558,0.7622
628,0.5448
314,0.9998
397,1.4829
371,0.2131
472,0.2533
369,0.0576
595,2.5957
492,1.5519
431,0.0913
458,0.3607
298,1.2653
327,0.5516
382,0.1209
398,1.5426
582,0.5583
261,0.0556
377,1.4445
448,0.5419
282,0.7896
308,0.1911
445,0.3882
325,3.3392
545,2.4895
333,0.4113
330,1.0066
411,2.4669
366,0.0780
505,0.1693
440,0.7164
358,0.0730
456,0.7013
468,2.0060
359,0.4460
434,0.3719
560,1.1071
465,0.2414
462,0.1577
339,0.2989
504,0.4354
436,0.1740
466,0.1867
331,0.4976
90,0.0120
459,1.8800
433,0.9891
537,0.8668
337,0.5653
444,0.3151
331,1.7584
359,0.5939
404,0.0811
346,0.3590
425,2.0903
492,1.2293
392,0.4452
584,1.1502
647,1.3619
300,0.6842
382,0.8019
397,0.1569
422,0.5955
561,0.2422
327,0.3933
317,0.1947
461,0.2695
352,0.4707
415,2.0153
299,0.3153
580,1.9929
414,0.1693
355,0.9417
355,0.0812
351,2.3205
533,0.3404
486,0.5655
556,1.2278
592,0.9011
330,0.4752
506,0.2085
572,1.6974
348,1.1202
552,0.1414
416,0.5253
455,1.4914
452,0.1690
461,0.5262
590,0.7563
396,1.0815
363,0.7607
498,1.0741
423,0.3685
469,2.0941
401,1.0832
542,0.3544
483,1.6530
318,0.2561
497,0.2071
512,0.6444
282,0.6761
398,0.2671
387,1.5579
429,0.3658
522,2.1281
496,2.6139
412,0.4320
579,0.9680
391,0.2466
361,2.2497
310,1.4609
429,1.5858
371,0.3463
508,1.0405
394,1.0533
519,0.1280
347,0.7651
537,1.0760
334,1.0096
376,0.0797
433,0.8404
338,0.0492
570,2.6749
462,0.9233
403,0.0902
553,0.4281
428,0.2503
297,2.0244
321,0.2950
524,0.5736
494,1.0414
524,1.0317
588,1.9655
363,0.7166
370,0.8176
396,0.7158
381,0.6206
310,0.6757
279,0.8161
343,0.2921
331,1.4915
461,0.1941
511,0.1873
275,0.0770
434,0.1058
379,1.6762
319,0.1688
450,0.1910
345,0.0521
540,1.1843
512,0.1416
422,0.1050
405,1.0170
618,1.5839
631,0.2735
440,1.2543
322,0.2925
404,1.7220
299,0.7199
348,0.4318
424,0.3067
485,1.1331
454,0.0884
415,0.8390
251,0.0537
354,0.3988
385,3.0171
311,0.0733
451,0.1059
451,2.5016
402,1.1577
309,1.0965
327,1.6351
388,0.4010
314,0.1411
385,0.5215
517,0.2288
381,2.2990
433,0.2381
460,0.4184
361,1.6877
341,0.7101
256,0.0597
421,0.2570
607,1.0619
286,0.0921
493,1.9274
437,0.3488
339,1.2247
485,0.0872
539,1.5490
316,0.0449
483,0.5874
492,0.0969
402,1.1283
343,2.9772
479,0.4712
436,1.8822
605,1.1219
504,0.1785
511,0.4012
413,0.5845
274,1.3827
589,0.2917
445,0.2366
559,0.8014
281,0.9423
381,0.6136
303,0.1345
298,0.0570
445,1.9141
455,0.3140
546,0.8245
554,0.8011
466,0.5741
303,0.6309
511,0.3393
499,0.3997
374,0.7607
455,0.6552
437,1.0970
406,0.0857
601,0.9008
311,0.0911
353,0.7038
577,1.2313
426,0.1601
449,0.6028
385,0.0845
221,0.0255
367,0.5269
453,0.1068
343,0.5241
461,0.1941
409,0.1175
336,0.6033
588,1.0973
362,0.3929
369,0.5645
574,0.2638
517,0.2637
353,0.4388
406,0.9223
546,0.1245
567,1.4553
300,0.3279
550,1.6369
529,1.3338
381,0.0924
286,0.1424
339,0.0934
484,1.4348
446,1.6131
394,0.7820
641,0.4173
339,0.9752
383,0.6757
265,0.0676
295,1.2730
425,0.4487
538,1.1756
366,0.5367
287,0.7032
380,0.7163
432,0.1296
513,1.9881
369,0.6604
286,0.3173
530,0.8286
311,0.5789
499,2.6525
396,0.9509
339,0.0926
517,0.2961
334,2.0008
508,0.4891
355,0.1071
366,0.3806
400,0.4740
361,0.4104
438,0.1010
641,0.5034
369,1.2024
517,1.0473
381,0.9771
388,0.8180
308,0.4361
403,1.0004
471,1.3217
379,0.0658
281,0.3346
535,1.7516
334,0.9242
360,0.7122
489,0.6213
390,0.3424
500,2.6468
353,0.2527
342,2.0311
322,0.3620
528,0.2036
431,0.3802
534,0.8005
415,1.1085
392,0.8916
323,0.5862
277,2.5315
475,2.8641
659,0.3605
512,0.9554
260,0.0534
379,0.1980
505,0.5808
376,1.3661
355,0.4368
411,0.2389
500,0.7874
214,0.0619
565,0.9408
363,0.5582
399,0.4236
421,1.3210
270,0.0732
316,0.4260
521,0.1453
599,0.7437
398,1.5522
611,0.8365
279,1.3677
346,1.0585
608,3.2742
350,0.7213
444,1.1207
503,0.5341
481,0.6640
335,1.7315
427,0.9859
438,0.1112
352,0.1924
417,0.1442
538,0.9004
362,2.4999
369,0.8118
521,3.3568
472,1.3757
411,0.2592
417,2.9130
474,0.2210
377,0.6717
401,0.1378
557,2.4371
366,1.3355
623,0.4050
431,1.8382
195,0.0297
330,1.1051
497,6.6052
319,0.1130
318,0.6152
473,0.1995
527,0.3952
392,0.0934
446,1.2404
543,0.1845
446,2.0187
374,0.9223
454,1.8562
453,0.2481
472,1.1479
646,0.9042
369,0.8675
459,0.4038
469,0.3382
340,1.6381
285,1.2765
404,1.0408
445,3.3154
412,1.0356
368,0.1393
405,0.4413
284,0.7994
381,0.5704
406,0.4445
287,0.1768
453,0.6771
426,0.7287
460,1.2597
389,0.4399
293,1.1528
351,0.6757
424,0.0952
590,1.7810
384,1.1689
285,0.1583
312,0.0755
421,0.4250
320,1.9015
549,2.4546
407,0.0682
416,1.8866
415,1.1594
545,0.1683
573,0.7288
550,0.9739
525,0.2622
327,2.4201
506,0.3848
375,0.1419
412,1.8884
347,0.3354
305,1.6388
325,0.5256
379,0.6438
369,1.9969
489,1.1000
309,0.2532
318,0.5716
467,1.0803
306,1.5884
341,0.8713
553,1.2034
585,1.8633
367,0.9981
469,0.2843
544,0.5165
298,0.1105
306,2.1170
632,0.5840
544,1.3822
497,0.1368
423,0.1057
518,1.0884
404,0.4015
407,1.2840
473,2.8003
446,0.1957
324,0.3220
502,0.5061
366,0.4291
431,0.9442
549,0.1798
417,0.8268
424,0.5990
145,0.0425
498,1.6900
388,0.4413
316,0.1224
540,0.5478
428,0.0804
558,0.6051
516,0.1684
521,0.1739
640,1.4880
484,1.9957
455,1.4037
468,0.2056
95,0.0299
378,0.0828
476,1.0769
650,0.5185
