moves,runtime(in seconds)
9552,0.7802
15543,1.4991
24962,2.5311
22350,2.0849
11947,1.0966
13721,1.1542
6726,0.5237
24693,2.1109
39644,3.6114
30516,3.1380
30573,2.8674
14471,1.4745
38616,4.0683
12501,1.2302
45989,4.6631
26627,2.3161
21962,1.7652
88914,9.1057
18755,1.6619
38103,3.6532
32306,3.0567
4255,0.4318
81880,7.9555
15668,1.5065
25128,2.2888
9897,0.8878
7910,0.7310
13882,1.2644
22607,2.2516
17858,1.5806
23121,2.2393
19783,1.7187
15281,1.3631
27155,2.4969
20648,1.7839
5731,0.5164
37843,3.5733
6367,0.5672
22143,2.3583
16382,1.5387
16035,1.3996
19514,1.7360
5832,0.5344
7187,0.6132
50608,5.0468
26472,2.8024
24672,2.5022
27123,2.7924
26976,2.5800
32748,2.9006
34243,2.6189
6291,0.5186
15602,1.3869
40360,3.5660
8811,0.7624
51365,4.5060
17080,1.4821
12643,1.0087
9996,0.8264
5901,0.4712
42565,3.9134
8871,0.7586
11148,0.9312
35396,3.2761
17434,1.5763
8259,0.6824
12068,0.9153
19534,1.7458
16436,1.4743
59199,5.8031
23527,2.6403
8562,0.7870
36868,3.4103
34739,3.0351
27339,2.3449
19158,1.9157
14453,1.3694
27590,2.5466
9661,0.7838
7989,0.6599
8952,0.8138
28281,2.2721
29101,2.3903
9150,0.8240
8963,0.8247
13270,1.0851
1564,0.1521
7789,0.6542
30616,2.8242
25193,1.9388
33326,2.9838
15604,1.2869
98988,9.1858
18224,1.4899
14490,1.2490
83638,7.5735
9620,0.8172
48106,4.3721
16386,1.4582
38856,3.6102
12521,1.0890
20027,1.6501
32999,2.8031
9244,0.8381
11923,1.1269
17857,1.6134
46095,4.2358
13345,1.1477
30312,2.5553
36829,3.1750
23401,2.1308
31742,2.7582
40733,3.6910
56228,5.2436
20332,1.6189
25425,2.1552
14997,1.3317
16009,1.5055
30568,2.4698
17702,1.5625
48071,4.3633
19474,1.6974
36377,3.3676
36747,3.3114
21507,2.0010
6405,0.6135
9547,0.8758
49026,4.3475
42603,3.8985
33774,2.7215
18429,1.5815
18938,1.5561
27722,2.4835
16204,1.4022
25681,2.2965
61165,5.7288
9123,0.7375
64740,6.0805
26203,2.3704
52581,4.9581
15376,1.6706
13826,1.3980
12513,1.2196
89638,8.9607
68672,6.9352
24453,2.3051
24230,2.4858
54870,6.1443
11904,1.1080
34017,3.3113
4635,0.3924
17733,1.6754
15806,1.5109
43915,4.2106
51981,4.8125
21963,2.0368
67688,6.2609
2942,0.2685
32532,3.5383
22155,2.2013
44481,4.0899
6576,0.6937
45068,4.5222
4442,0.4856
27716,2.9767
14946,1.6084
17673,1.8297
42259,4.3657
28505,2.3366
12225,1.1705
17016,1.6013
23623,2.5202
13921,1.3601
26378,2.7496
24471,2.4237
21474,2.6225
23302,2.3100
45357,4.3354
21939,1.8585
19927,1.8751
11751,1.0407
34926,3.2407
40962,3.6148
6527,0.5198
23366,2.1863
28595,2.8028
22483,2.6466
9940,0.9365
20046,1.8240
12445,1.1200
15215,1.3634
26798,2.8725
5098,0.4998
10829,0.9472
18467,1.4593
13051,1.0862
14428,1.2934
6776,0.5471
26978,2.5743
13538,1.2050
30957,2.9646
14884,1.3941
35414,3.2032
16142,1.6930
16301,1.7797
12081,1.1180
25711,2.5496
8095,0.7180
9374,0.9775
27931,2.7636
40156,4.3033
7722,0.7158
1909,0.1818
15108,1.2259
56318,5.8996
35712,3.5001
67683,6.4718
31027,3.6779
17212,1.7133
57810,6.4133
52824,5.3123
24482,1.9551
14321,1.3135
14768,1.3597
11322,1.0151
7316,0.6892
26961,2.6084
15353,1.4615
12877,1.0747
23898,2.0690
35431,4.2066
17470,2.0953
30363,2.8303
11885,1.1220
34380,2.9184
9307,1.1800
20096,2.0763
43724,4.7215
56423,6.2302
8117,1.0751
13060,1.8418
29204,3.4595
51135,5.2511
24559,2.6338
58780,6.2114
16407,1.2235
12112,1.0861
4426,0.4186
38980,2.9714
32413,2.4793
11128,0.9595
46149,3.8595
4097,0.4309
9378,0.8402
45769,4.0379
36994,3.3048
21517,1.7718
8156,0.7327
62994,5.7955
18525,1.6962
36656,3.3690
61695,5.6381
23094,2.1064
17613,1.6166
23547,1.9409
8453,0.7286
13504,1.2192
18538,1.7293
23378,2.1217
23813,1.9998
11915,1.0560
47660,3.8836
15422,1.2269
7563,0.6625
11084,0.9957
6567,0.5205
22473,1.9542
41801,3.8428
41213,3.4774
12281,1.0801
70558,6.4843
28632,2.6370
18260,1.6301
8654,0.7186
25326,2.3443
16604,1.3915
53944,4.9907
27074,2.4864
41786,3.6332
23885,2.4040
12077,1.4318
53232,5.5247
19269,1.7501
39024,3.6319
13455,1.5479
12073,1.1382
10911,1.3865
26569,2.8797
12029,1.2817
20765,1.8593
15442,1.6033
54250,4.8691
21956,2.0761
15165,1.3327
35995,3.2963
19635,1.7288
8159,0.7970
16388,1.5826
33545,3.1397
2948,0.2380
2087,0.1994
6128,0.5444
52661,4.9367
44295,4.3167
1691,0.1587
70904,6.7159
105801,9.8714
35267,3.3550
19134,1.7454
21771,2.1427
12793,1.2255
9024,0.8834
41869,3.7190
18001,1.7208
13220,1.2511
27002,2.5817
13198,1.3109
15531,1.3584
47129,4.4025
25096,2.4135
16223,1.5780
21281,1.9415
27657,2.6371
25562,2.3269
13470,1.2930
61051,6.6877
13945,1.7765
34578,3.9592
20956,2.5116
20881,2.6302
48921,6.1237
8563,1.0615
19208,2.2722
18457,1.7171
21561,2.4588
26454,2.7146
18379,2.5648
22974,2.1755
7799,0.6739
20821,1.8487
37875,3.6443
14944,1.3653
32089,3.1769
7309,0.6322
22470,2.0135
14676,1.2757
40720,3.6859
14594,1.2187
27260,2.4445
25454,2.3708
22555,2.1401
11634,1.0672
12064,1.1128
119708,11.417
19759,1.7140
2849,0.2601
11173,0.9324
18105,1.6446
28757,2.6825
16046,1.4576
54643,5.1139
14773,1.2114
17362,1.4350
15440,1.3398
25599,2.4557
8151,0.8140
13529,1.2143
5085,0.4716
23922,2.2823
13101,1.2469
19658,1.8662
5606,0.5205
29366,2.6345
12395,1.0914
6814,0.6804
13265,1.1537
13599,1.3261
16956,1.4051
33059,3.1588
30620,2.9435
48260,4.3650
10005,0.9342
12896,1.0227
64286,5.8664
24026,2.2339
107593,9.9050
10132,0.8397
8521,0.8380
21421,1.7595
20144,1.7034
97775,9.3493
24574,2.0383
17385,1.6444
33744,2.7937
53600,4.7170
31592,2.5474
39689,3.5456
15784,1.3722
25828,2.3157
22299,1.9016
17595,1.5604
21374,1.6889
4607,0.4299
7821,0.6610
15295,1.3135
14194,1.3342
30018,2.8686
23922,2.0821
17352,1.4180
10260,0.9158
30851,2.7837
4812,0.4137
24986,2.3775
42995,3.9807
16557,1.3993
41382,4.2419
24265,2.1823
27027,2.5001
23868,2.0720
21689,1.8114
11620,1.0873
9075,0.8696
11790,1.0447
25539,2.3499
20422,1.9233
14858,1.2017
16912,1.5454
30042,2.5969
6532,0.5420
2058,0.1747
10765,1.0166
26662,2.3854
30164,2.6039
11958,1.0596
19390,1.8092
40036,3.7922
35154,3.3249
27679,2.2760
13126,1.0463
12032,1.0500
29265,3.3114
9647,0.9293
96402,8.8201
16269,1.5231
57077,5.2310
49077,4.8020
32850,2.5729
32616,3.1386
15759,1.4953
13152,1.0968
19926,1.8783
19518,1.8159
12878,1.1700
46563,4.3026
85682,7.8905
30727,2.8402
31000,2.9003
22574,2.0307
97070,9.2107
14545,1.3507
32168,2.9221
48559,5.6046
12436,1.1025
11158,0.9671
19608,1.6732
31126,2.9956
36760,3.3661
30650,2.6827
20546,1.9900
17719,1.7324
10160,0.9407
20323,1.9485
26969,2.3929
3845,0.3754
31155,2.9632
35856,3.0026
30866,3.0345
13757,1.4136
51071,5.5352
20052,1.8863
38352,3.3790
37470,3.3327
36931,3.4693
9914,0.9269
9868,0.8156
52087,4.9100
27152,2.5900
5424,0.4621
22627,2.0064
67148,6.2978
46706,4.2281
18183,1.6365
32122,3.0189
7647,0.7098
7959,0.6683
12738,1.0648
13046,1.1003
49916,4.4326
53794,4.7263
5900,0.5509
52236,5.6467
13525,1.5640
5680,0.5611
48820,4.7010
16683,1.4884
51786,4.5335
60335,5.6704
25787,2.4251
42335,3.8635
7867,0.7691
9431,0.8689
20998,1.7292
9636,0.8638
8381,0.7240
29416,2.6176
7346,0.6304
13373,1.3117
23180,2.2080
66089,5.7373
16910,1.4179
14475,1.2458
28980,2.6119
42440,4.0083
24910,2.2651
15189,1.3380
35715,3.0261
40029,3.6463
30320,2.6842
29445,2.7104
28360,2.2437
36240,2.9121
22512,2.0119
52901,5.0187
24529,2.3282
26426,2.6527
8871,1.1764
5562,0.6196
12300,1.4697
21930,2.8018
12819,1.1954
36805,4.1145
47165,4.2623
30843,2.8089
37304,3.2817
18914,1.7128
42353,3.5053
14795,1.3881
11539,0.9158
39597,3.3986
3930,0.3618
4585,0.4118
58933,5.8332
26549,2.7834
16977,1.7063
87565,8.2785
6653,0.6759
15419,1.3765
17784,1.5886
9129,0.8974
26107,2.3856
13975,1.3437
25815,1.9364
5505,0.4904
11124,1.0074
33151,2.8411
41277,3.7290
78163,6.7824
69592,6.5889
5680,0.5006
8856,0.8040
23186,2.0784
40185,3.6728
43334,4.0152
17745,1.7450
42167,4.0778
14153,1.3503
20386,1.6213
34168,3.0536
57956,5.2331
40100,3.8241
19992,1.9125
45619,4.0920
26705,2.5278
23552,2.2660
18991,1.5934
53415,5.1675
12728,1.1609
38615,3.5395
20854,1.8287
33917,3.0346
30297,2.6807
22776,2.2167
22436,2.1636
10169,0.8222
20094,1.8625
26790,2.5787
33569,3.1836
22107,2.0061
33918,3.1122
16784,1.4411
5690,0.5283
16726,1.4724
38676,3.2529
83096,7.1313
7676,0.7160
18347,1.6316
25412,2.0531
12768,1.1702
43203,3.8418
3349,0.2847
72296,6.9389
74862,7.0664
10727,0.9681
19397,1.7575
22100,2.0206
47189,4.3799
38843,3.4536
51118,4.7238
52727,4.8489
18661,1.6826
12836,1.0503
18634,1.6933
11384,1.0799
7605,0.7625
20836,1.8677
49911,4.8156
49910,4.4140
15810,1.4897
36025,3.0674
10052,0.9344
11137,1.0242
10920,0.8565
36778,3.5904
19622,1.8542
18375,1.7266
61693,5.6656
17851,1.7674
16485,1.4624
5897,0.5771
49422,4.7214
23879,2.2195
12222,1.0774
49829,4.9940
16774,1.4165
18285,1.7153
15323,1.4748
13682,1.1766
26342,2.5796
9716,0.9502
20940,1.8432
11829,1.1200
23246,1.8631
14981,1.2915
23353,1.9679
3297,0.3110
48892,4.8220
22780,2.1273
28518,2.6655
49536,4.5280
16007,1.4616
22192,2.0069
19015,1.7677
29506,2.5210
5092,0.4729
12988,1.1842
16077,1.3633
55593,5.3545
11109,0.9866
11360,1.0524
16787,1.3923
42058,3.8689
25279,2.1145
45103,4.3538
21590,2.1154
35620,3.7854
23255,2.9067
22155,2.6640
22983,2.3671
25842,2.7190
40199,3.9877
19142,1.9574
35603,2.7259
24539,1.9610
30190,2.4357
29434,2.6790
19467,1.4967
65812,5.8708
46708,4.1503
11891,1.0817
26816,2.2551
25834,2.3209
57201,5.6323
15353,1.2890
46021,4.2484
11874,1.1230
78645,7.1832
60041,5.8004
13349,1.2356
18615,1.6961
33733,3.1646
22441,2.1496
12736,1.2052
27093,2.5227
25936,2.2874
8856,0.7826
20871,2.0187
1806,0.1457
8525,0.7424
42855,3.8471
26993,2.7917
67358,6.5849
26879,2.5571
9379,1.0041
41980,3.9078
11113,1.1619
14108,1.0992
23902,2.2154
17013,1.4281
12050,1.0435
11191,1.0312
44042,4.0425
8360,0.7421
17150,1.5665
61732,6.0124
6142,0.5823
58501,5.3547
14416,1.1631
23885,1.9983
46367,4.0445
20611,1.9104
12011,1.0770
17524,1.7300
12876,1.2040
20412,1.7993
12617,1.1445
34720,3.1687
4094,0.3902
38428,3.4565
36767,3.4923
11023,1.3957
5064,0.5966
46057,4.3871
39691,4.4527
27722,2.3716
13749,1.2770
19669,1.7697
11255,1.0892
17116,1.4769
16898,1.6626
17869,1.6676
9681,0.9190
30360,2.8240
39902,4.7480
13003,1.9047
25947,2.7685
32902,2.7325
19064,1.7549
19630,1.6787
60295,5.5891
23549,2.1029
40163,3.4299
5057,0.4699
37526,3.5815
33235,3.2189
29266,2.7588
26003,2.1293
54775,5.1105
18622,2.6455
7110,1.5936
41381,4.2743
15214,1.1823
18128,1.6974
3350,0.3326
12893,1.1070
6849,0.6268
9332,0.9054
8049,0.7929
27529,2.6226
5922,0.5458
32769,3.0998
31703,2.9658
9858,0.8707
7308,0.7273
31701,3.0054
38631,3.1795
15482,1.4075
17223,1.4195
21064,1.8221
13075,1.1194
29907,2.7881
25387,2.3537
8317,0.7141
23409,1.9876
39727,3.5016
25674,2.3774
29068,2.5939
42131,4.3918
14742,1.4517
5683,0.5413
19341,1.9075
9449,0.8829
36797,3.5385
13514,1.1904
16847,1.4973
13084,1.2825
49045,4.6859
23138,2.2353
31176,2.8271
23772,2.2427
17668,1.6792
18327,1.7716
19416,1.6859
12740,1.1944
16890,1.6162
22903,2.1896
77160,7.0978
13643,1.1723
109642,10.451
21211,1.9690
6199,0.6083
17415,1.6248
17725,1.6673
33254,3.0304
17294,1.5398
6093,0.5923
17361,1.6781
27657,2.6488
30012,2.5862
67434,6.2011
14083,1.3720
43321,3.5742
24511,2.2583
8250,0.7381
12822,1.0761
20125,1.9473
76915,7.6323
28377,2.5962
33535,2.7674
8747,0.8530
13467,1.1308
58180,5.5363
7371,0.7408
12304,1.3228
9376,0.9230
27508,2.5539
42992,4.1774
17087,1.3810
21303,1.9293
3409,0.3222
14212,1.2865
31456,3.0359
28158,2.6723
21369,2.0240
4637,0.4621
37804,3.6362
15488,1.5343
39594,3.6152
4169,0.3407
31043,2.7946
8785,0.7849
11923,1.1445
17081,1.5824
60338,5.6564
58267,5.4895
28528,2.4445
20604,1.8219
17127,1.6151
29173,2.6382
18700,1.8369
24110,2.3456
44280,4.4496
14454,1.3782
9282,0.8873
